ID,city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance
255,1,62,3,2,1,6,not acept,furnished,"R$1,550","R$4,800",R$167,R$61
256,1,130,2,2,1,-,acept,not furnished,"R$1,100","R$4,300",R$100,R$55
257,0,600,4,6,3,-,acept,not furnished,"R$1,123","R$5,500",R$819,R$83
258,1,520,3,4,2,-,acept,not furnished,R$0,"R$9,000","R$1,500",R$136
259,1,86,1,2,1,13,acept,furnished,"R$1,800","R$6,500",R$375,R$83
260,1,72,2,2,1,6,acept,not furnished,"R$1,100","R$5,431",R$334,R$69
261,1,550,4,4,4,-,acept,not furnished,R$0,"R$14,000","R$1,334",R$211
262,1,50,1,1,0,-,not acept,not furnished,R$0,"R$1,220",R$0,R$19
263,1,298,5,3,3,-,acept,not furnished,R$0,"R$8,000","R$1,384",R$121
264,0,74,3,2,1,10,acept,not furnished,R$700,"R$1,800",R$120,R$23
265,1,41,1,1,0,17,acept,furnished,R$450,"R$2,470",R$0,R$32
266,0,80,3,2,2,2,acept,not furnished,R$750,"R$1,450",R$110,R$19
267,1,130,3,2,1,1,acept,not furnished,"R$1,200","R$4,500",R$100,R$58
268,1,64,1,2,2,15,acept,not furnished,R$691,"R$2,100",R$92,R$27
269,1,50,1,1,1,9,not acept,not furnished,"R$1,170","R$2,730",R$9,R$35
270,1,200,3,2,4,-,acept,not furnished,R$0,"R$3,500",R$0,R$53
271,1,70,1,1,2,9,acept,furnished,"R$2,150","R$7,000",R$542,R$89
272,0,41,1,1,1,11,acept,not furnished,R$390,"R$1,950",R$65,R$14
273,1,89,2,2,0,2,acept,not furnished,"R$1,000","R$1,900",R$0,R$25
274,1,250,4,2,8,-,acept,not furnished,R$0,"R$13,040",R$500,R$197
275,1,105,2,1,0,-,acept,not furnished,R$0,"R$1,800",R$125,R$28
276,1,150,2,2,1,-,acept,not furnished,R$1,"R$2,100",R$0,R$32
277,1,50,2,1,1,14,not acept,not furnished,R$450,"R$1,950",R$0,R$25
278,1,180,3,2,1,-,acept,not furnished,Sem info,"R$5,400",R$459,R$82
279,1,50,1,1,0,-,not acept,not furnished,R$0,"R$1,000",R$0,R$16
280,0,70,1,1,2,-,acept,not furnished,R$0,"R$1,450",R$5,R$22
